"ResponseId","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q25_6","Q25_7","Q25_8","Q25_9","Q25_10","Q26","Q27","Q28","Q29","Q30","Age.Group","Country.of.Subsidiary","Gender","Locale"
"R_2CPWP4RwL2IGOcr",5,3,4,4,3,2,4,4,3,3,2,4,4,5,4,4,2,1,5,2,1,4,3,4,4,4,5,5,5,5,5,5,5,4,4,5,5,"1,3,4","less than 25","Germany","Female","Germany"
"R_2TEFTU1Tipdwa7V",4,4,4,3,4,3,4,4,4,3,3,4,5,5,4,4,NA,1,4,3,3,3,3,5,4,5,4,3,5,4,4,4,4,1,2,2,4,"1,2","35 to less than 45","France","Male","France"
"R_Wka6PotkvgEPnLb",5,4,4,4,5,5,4,5,4,4,4,4,5,5,4,4,NA,2,5,4,4,3,2,4,4,3,5,3,3,5,4,5,5,4,5,4,8,"1,2,3","25 to less than 35","Germany","Female","Germany"
"R_swlGmaYYwX0LlVD",5,4,4,4,4,4,5,5,3,4,4,3,4,4,4,4,NA,2,4,3,3,3,3,5,5,4,4,3,3,4,4,3,3,4,2,4,5,"1,2,6","45 to less than 55","Germany","Female","Germany"
"R_3qwmUYwLBUSRWLX",4,4,3,3,3,3,5,3,3,4,4,3,3,3,3,3,NA,4,5,3,1,2,3,5,5,5,5,5,5,5,5,5,5,5,2,2,4,"1,3,7","45 to less than 55","Germany","Female","Germany"
"R_3ixW5yPuAPOnyjd",3,5,4,3,3,4,5,2,2,4,4,3,5,5,5,5,2,5,4,4,3,3,2,5,5,5,5,5,5,5,5,5,5,4,2,2,7,"3,4,5","25 to less than 35","Germany","Female","Germany"
"R_3JJgiadgOYxwCbv",5,4,3,4,5,4,5,4,5,4,5,5,5,5,5,4,NA,NA,4,4,1,4,4,5,5,4,5,5,5,4,5,4,5,2,5,4,5,"3,5,6","55 years or over","Germany","Female","Germany"
"R_rcjBxVtlZ4PmT7z",4,4,4,4,4,5,5,4,4,4,4,4,5,5,5,5,2,5,NA,4,4,3,3,5,5,5,5,5,5,5,5,5,5,2,4,2,8,"1,2,3","35 to less than 45","Germany","Female","Germany"
"R_1f9NnwS5G2HUlP2",4,4,4,4,2,4,5,4,5,4,5,4,5,4,4,5,NA,5,5,4,4,3,4,4,4,4,5,5,5,3,3,4,5,2,4,4,5,"2,3,5","35 to less than 45","Italy","Male","Italy"
"R_b433kC9cPFlRqMx",5,5,5,5,5,5,4,4,4,4,4,4,5,3,4,3,NA,5,5,3,1,4,2,3,2,1,1,1,1,4,3,3,2,2,4,4,8,"2,3,4","35 to less than 45","Germany","Female","Germany"
"R_3F4KS73hVGTkVJK",4,5,3,2,3,3,4,3,4,4,3,3,5,5,5,4,NA,2,NA,2,3,4,4,5,4,4,5,5,5,4,5,4,5,2,4,4,1,"1,2,5","less than 25","Germany","Female","Germany"
"R_3KZ6oI7fGkmu0AY",4,3,3,2,1,3,4,1,1,2,4,3,3,3,3,3,2,5,3,4,2,3,3,5,4,3,3,2,2,5,5,3,3,4,4,4,5,"1,3,5","25 to less than 35","Germany","Female","Germany"
"R_2riQFPacOTUWu0R",4,3,3,3,1,2,5,4,3,2,4,3,5,5,4,4,NA,5,4,3,4,3,2,2,4,1,3,2,4,5,4,5,5,2,2,4,7,"1,4,5","less than 25","Germany","Male","Germany"
"R_3JEDjKFqBCnzPNF",5,5,5,5,3,4,4,4,5,5,5,5,5,5,5,5,NA,1,5,3,3,2,2,5,5,5,5,5,5,5,5,5,5,2,4,4,5,"2,5,6","35 to less than 45","China","Female","China"
"R_T1LcIUCTJY9YKw9",5,5,4,4,4,5,5,3,5,5,5,3,5,5,5,4,3,5,5,3,3,3,3,5,4,5,4,4,4,4,4,4,4,4,5,6,7,"2,5,6","35 to less than 45","Italy","Female","Italy"
"R_1r1SR1eV5lACP2i",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,5,3,4,4,5,5,5,5,5,5,5,5,5,5,2,2,4,5,"5","25 to less than 35","Germany","Male","Germany"
"R_2X5y2vzTOjCZpf0",4,4,5,2,3,4,4,3,3,3,4,4,5,5,5,4,2,5,3,NA,NA,NA,NA,4,5,3,5,5,5,4,5,3,5,2,4,5,4,"1,3,4","less than 25","Germany","Female","Germany"
"R_PMoYuGgIvheVDxv",5,5,3,5,3,5,5,5,3,3,5,5,5,5,5,5,NA,2,4,1,4,5,4,5,5,5,5,5,5,5,5,5,5,5,6,2,8,"1,2,3","45 to less than 55","Germany","Male","Germany"
"R_3QYMZTsOTzpMsUy",5,5,5,5,3,5,5,4,2,3,5,5,5,5,5,5,2,1,2,3,3,3,1,5,5,2,5,5,4,1,5,4,5,4,2,2,8,"2,5","35 to less than 45","France","Male","France"
"R_216RaRLYeHzeBiB",4,4,3,2,2,2,3,2,3,3,3,3,4,4,3,4,4,NA,NA,1,1,2,2,5,4,4,4,5,4,3,5,4,4,7,2,2,4,"1,3,5","55 years or over","Germany","Female","Germany"
"R_3JshMi9GzaQdrLW",5,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,NA,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,7,"1,3","35 to less than 45","China","Female","China"
"R_0kAQ4cCYtQeUcut",4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,NA,1,5,4,2,2,2,5,5,4,5,5,5,3,5,5,4,2,4,5,5,"3,4,5","55 years or over","Germany","Female","Germany"
"R_21EuOZwu3eIukJg",4,5,5,4,4,5,5,4,4,5,5,5,5,5,5,5,NA,2,4,3,1,2,2,4,5,4,5,4,4,5,5,5,5,4,2,4,8,"1,2,3","25 to less than 35","Germany","Male","Germany"
"R_BFUMN72cL2xkYeJ",5,5,5,4,2,5,5,4,4,4,3,5,5,4,5,5,NA,5,2,5,5,5,4,NA,5,3,3,3,4,5,5,5,5,4,4,4,8,"3,4,6","25 to less than 35","Italy","Female","Italy"
"R_2Xb8ENv1WLZzK22",4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,NA,5,5,4,3,3,2,3,2,4,4,2,2,5,5,5,4,2,4,5,5,"2,3,6","45 to less than 55","China","Female","China"
"R_byMCUOAooBOGGeR",4,4,3,3,3,4,4,3,3,3,4,4,4,4,4,3,2,2,NA,2,2,2,3,4,2,4,4,4,4,3,4,3,2,4,5,4,7,"1,2,5","25 to less than 35","Germany","Male","Germany"
"R_1eKLPjar6WYZp9u",5,4,4,4,5,4,3,4,4,3,3,3,5,4,4,4,4,NA,5,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,7,2,4,5,"3,4","55 years or over","France","Female","France"
"R_26ey2UIusJksXWI",4,5,4,4,5,5,5,5,4,4,3,5,5,4,5,5,NA,5,5,4,4,5,4,4,4,4,4,4,4,3,3,3,3,4,4,4,8,"2,3,6","35 to less than 45","Germany","Female","Germany"
"R_3gRRzbpL18vJ6B2",5,5,4,5,5,4,5,5,4,5,4,5,5,5,5,5,NA,5,4,4,5,3,3,5,5,3,3,4,5,5,5,5,5,4,4,2,8,"1,2,4","35 to less than 45","Germany","Male","Germany"
"R_3G0oqMs7e3enKhd",4,4,4,3,3,3,4,4,4,4,4,3,4,3,3,3,NA,NA,5,2,2,5,4,4,5,4,3,4,5,5,4,4,4,2,4,5,7,"1,3,4","55 years or over","Germany","Male","Germany"
"R_10B36oadJRK4bQf",4,4,3,3,2,4,4,3,3,2,3,3,4,3,3,4,NA,NA,NA,4,4,3,2,4,4,2,4,3,4,5,5,3,4,4,5,4,7,"1,3,5","55 years or over","Germany","Male","Germany"
"R_2vcYVsATVnqMTlQ",4,4,3,2,2,4,5,3,2,5,4,4,4,5,5,4,NA,5,3,2,1,3,3,5,3,2,4,4,4,4,4,4,4,2,4,4,5,"1,3,5","less than 25","Germany","Female","Germany"
"R_1mQQv7ysRfXRXWx",4,4,4,3,2,3,3,3,3,3,2,3,4,4,4,4,NA,5,5,2,3,3,2,4,4,3,4,4,4,3,3,4,4,2,4,4,7,"1,3,4","45 to less than 55","Germany","Female","Germany"
"R_sbOB2rpc7ai2COJ",4,4,4,3,3,4,5,3,4,4,4,5,5,5,5,5,NA,5,5,4,2,2,2,3,3,3,4,3,3,5,3,5,5,2,4,4,5,"1,2,3","25 to less than 35","Germany","Male","Germany"
"R_3MMyPVHpod3HHKi",4,4,3,5,4,5,4,4,5,5,5,4,5,5,5,5,NA,5,NA,4,2,3,2,5,5,5,5,5,5,5,5,5,5,2,4,5,5,"2","25 to less than 35","China","Female","China"
"R_aXFs69BQDUJaH6h",4,4,4,4,3,4,3,3,3,4,3,4,4,4,4,4,NA,5,5,3,4,3,4,5,4,4,5,4,4,5,5,4,4,7,4,5,1,"1,3,5","45 to less than 55","Germany","Male","Germany"
"R_10CKqPhAnXCpytR",3,3,3,4,3,4,4,4,2,3,3,NA,5,5,4,4,NA,5,NA,2,5,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,"1,3","35 to less than 45","Germany","Female","Germany"
"R_3LbhtQ5abLOC0jf",3,2,2,3,5,3,4,3,3,3,4,4,5,5,4,4,NA,1,4,3,4,3,2,4,5,4,4,5,5,4,3,3,4,4,4,2,5,"1,3,6","45 to less than 55","Germany","Male","Germany"
"R_3MQkDIbdeuOjuja",4,4,4,4,4,4,5,4,3,3,3,4,5,5,5,4,4,NA,5,3,2,2,2,4,5,3,1,4,5,4,4,3,4,2,1,2,7,"1,3,4","25 to less than 35","Germany","Male","Germany"
"R_296uhH1z7imJ2CZ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,5,5,5,NA,2,5,5,5,5,5,5,5,5,5,5,5,5,6,6,8,"1,3,4","45 to less than 55","Italy","Male","Italy"
"R_2DVa8SofcSZXl5e",5,5,3,4,4,5,5,4,4,5,5,5,5,5,5,5,NA,5,NA,3,1,4,3,5,4,4,5,5,5,5,5,4,5,2,1,1,4,"1,3,6","45 to less than 55","Germany","Female","Germany"
"R_u9UCWFPWYUjlH9f",4,4,3,3,4,3,3,3,3,2,2,3,4,4,4,4,7,2,5,2,2,2,2,5,4,4,4,2,3,3,2,4,2,2,2,2,5,"1,3,5","55 years or over","Germany","Male","Germany"
"R_2PukbLPIW1boesN",4,3,3,4,4,3,5,3,4,4,3,3,5,5,4,4,NA,NA,5,3,1,3,2,4,4,4,2,2,4,4,4,4,5,4,4,5,7,"1,2,3","25 to less than 35","Germany","Male","Germany"
"R_1In3y7dTDSS7GZp",4,5,4,4,5,5,4,4,4,4,4,4,5,5,5,5,4,5,NA,3,3,3,3,4,4,4,4,5,5,5,5,5,5,4,4,5,5,"1,3,5","45 to less than 55","France","Female","France"
"R_1Q5wRgf3bpvp8Xq",5,5,3,4,4,3,5,4,4,3,3,2,4,4,4,4,NA,1,NA,2,2,2,3,4,4,4,4,4,4,4,4,4,4,7,5,2,5,"3,4,5","35 to less than 45","France","Female","France"
"R_3KouenzuVr3VXle",5,4,4,3,5,3,4,4,4,4,5,5,4,4,4,3,NA,5,4,3,1,4,3,5,4,5,4,5,5,4,4,4,4,4,5,5,5,"1,3,5","55 years or over","Germany","Male","Germany"
"R_2X0sX9qGFWo5Hih",3,4,2,3,3,3,3,3,2,2,3,2,4,4,4,4,7,3,5,2,1,2,3,3,3,4,5,4,4,4,4,5,3,2,2,4,7,"1,4,5","less than 25","Germany","Female","Germany"
"R_yvFvMnwfYrNpgfD",4,4,4,3,2,3,4,4,4,5,5,5,5,4,4,4,NA,5,5,4,2,3,2,4,5,3,5,5,5,5,4,3,4,2,4,4,8,"1,2,3","25 to less than 35","Germany","Female","Germany"
"R_1msW1755P4d9Xlv",4,4,5,3,4,4,4,4,4,3,4,3,4,4,4,4,NA,5,2,5,5,5,5,4,5,3,5,5,4,4,5,5,5,2,2,4,5,"1,2,3","25 to less than 35","Germany","Female","Germany"
"R_339l9Nt3erIXLfM",4,5,3,3,4,4,5,3,3,5,3,4,5,5,4,4,NA,5,NA,1,3,2,2,4,5,3,4,5,5,5,4,4,5,2,2,4,7,"1,2,3","25 to less than 35","Germany","Male","Germany"
"R_25HGrz2XAsy75Xa",5,4,4,4,4,3,4,3,4,4,4,5,5,5,5,4,2,2,5,2,3,4,4,5,5,5,5,5,4,3,4,4,3,4,4,5,7,"1,3,4","less than 25","Germany","Female","Germany"
"R_2abM4IhjTPEDlMQ",3,4,4,2,3,4,4,3,2,2,4,3,3,4,4,3,NA,5,2,3,3,4,4,5,5,3,3,4,5,4,4,4,4,2,4,5,7,"2,5,6","less than 25","Germany","Female","Germany"
"R_3Rmjem0JfUFOJmo",4,4,5,4,3,3,4,4,4,4,4,5,3,3,3,3,NA,2,3,3,1,2,1,4,4,4,3,2,2,3,2,2,2,4,1,2,7,"3,7","25 to less than 35","Germany","Male","Germany"
"R_1dFXvQbnlse1KCP",4,4,5,5,4,3,4,4,4,3,3,3,4,4,4,5,NA,NA,NA,4,4,4,4,5,3,5,3,3,3,5,5,5,5,1,2,2,4,"1,2,3","25 to less than 35","China","Male","China"
"R_aaC9s5MV0KcQJ3z",4,4,4,2,2,3,3,4,3,4,4,4,5,5,5,5,NA,1,NA,3,2,2,1,5,5,4,5,5,5,5,5,5,5,2,4,4,7,"1,6","25 to less than 35","Germany","Female","Germany"
"R_3NOMq7g5ci2mS9d",3,3,3,2,4,2,3,1,3,4,4,2,5,4,4,4,2,5,4,2,1,2,3,4,5,3,4,2,4,4,4,3,4,2,4,4,8,"1,2,3","25 to less than 35","Germany","Male","Germany"
"R_exL6W1QSFx5HDA5",5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,4,NA,5,NA,5,3,4,2,5,4,4,4,4,5,5,5,5,5,4,4,5,8,"1,6,7","35 to less than 45","Germany","Male","Germany"
"R_3qxm86bbQvZbDHG",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,2,2,4,"","35 to less than 45","China","Female","China"
"R_1FsqepunOhTt4KM",4,4,5,4,2,4,4,4,5,4,4,4,5,5,5,5,4,2,NA,3,4,4,4,3,2,3,4,4,4,5,5,5,5,2,4,4,5,"1,3,5","25 to less than 35","China","Male","China"
"R_pgzc9voGAU0BJst",4,4,2,4,4,3,4,3,4,5,5,5,4,4,4,3,NA,5,NA,2,2,4,1,5,5,5,5,5,4,4,4,4,5,2,4,4,5,"1,3,6","45 to less than 55","Germany","Female","Germany"
"R_1kXn1N99kulTMDV",5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,NA,2,3,3,2,3,3,2,3,2,3,3,3,4,3,4,4,2,4,4,4,"1,3,4","55 years or over","Germany","Female","Germany"
"R_2xQMfpLoTduuRRq",4,4,2,5,5,3,5,3,3,5,4,5,4,5,4,4,NA,5,4,5,5,4,4,5,5,3,4,3,5,5,4,5,5,5,6,5,7,"1,2,3","55 years or over","Germany","Male","Germany"
"R_D5BcqnsBy9XxJdf",5,5,4,4,1,5,5,5,5,5,4,2,5,5,5,5,NA,5,NA,3,4,3,4,3,5,4,3,1,2,5,5,5,5,4,4,5,8,"1,3,5","25 to less than 35","Italy","Male","Italy"
"R_AyWlsu1qS6kK2sh",4,4,5,5,3,4,4,2,2,3,4,3,4,4,4,4,NA,2,NA,2,1,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,1,"1,3,4","25 to less than 35","Germany","Male","Germany"
"R_11gASVm0Gq4fWt7",4,4,4,3,4,5,4,4,4,5,4,4,5,5,5,3,NA,5,5,2,2,4,3,5,5,2,5,4,4,4,4,3,4,2,4,4,4,"1,3,4","35 to less than 45","Germany","Male","Germany"
"R_cC8jDHxa4RtWVSp",4,4,4,4,3,4,4,3,4,4,3,4,5,4,4,4,NA,5,4,1,1,2,2,5,5,3,4,4,5,4,4,5,4,4,5,5,8,"1,2,3","55 years or over","Germany","Female","Germany"
